桥ID,古桥名称,建造年代,经度,纬度,所在省份,桥型,材质,长度,跨度,保护级别,数据来源,建造朝代,地理区域,桥梁时代,规模分类,故事,
br_e73a07fddf59,曹公桥,1607,117.4645,31.8252,安徽,三孔石拱桥,青石,60,8,县级,《肥东县志》,明清时期,华东,古代,中型,"曹公桥
历史背景：曹公桥位于安徽，档案中多记其建于1607，属明清时期，地处华东一带，为三孔石拱桥。据《肥东县志》等资料，可反映当时水陆通行与营造传统。
建筑特点：以青石为主要用材，桥长约60米，跨度约8米；在现表中多归为中型桥梁，保护层级为县级，是古代桥梁技术与使用功能的实物例证之一。
文化价值：作为交通与遗产载体，该桥有助于研读地方史、桥型演变与文物保护；参观时请遵守现场规定，勿刻画污损。",
br_3dd748dd3800,献县单桥,1629,116.1386,38.1405,河北,五孔四卷不对称石拱桥,石/木,69,11.785,国家级,《献县志》,明清时期,华北,古代,中型,"献县单桥
历史背景：献县单桥位于河北，档案中多记其建于1629，属明清时期，地处华北一带，为五孔四卷不对称石拱桥。据《献县志》等资料，可反映当时水陆通行与营造传统。
建筑特点：以石/木为主要用材，桥长约69米，跨度约11.785米；在现表中多归为中型桥梁，保护层级为国家级，是古代桥梁技术与使用功能的实物例证之一。
文化价值：作为交通与遗产载体，该桥有助于研读地方史、桥型演变与文物保护；参观时请遵守现场规定，勿刻画污损。",
br_1b27a4ca9147,东溪桥,1570,119.8333,27.55,浙江,编木拱梁廊桥,木/石,41.7,25.7,省级,《泰顺县志》,明清时期,华东,古代,中型,"东溪桥
泰顺廊桥之东溪桥，“在泰顺县泗溪镇东溪上，系浙南闽北廊桥群中的典型之一。廊桥基本层工艺由编木拱梁而成，外加髹红护板，侧望宛如曲虹，其映水影形酷似倒写‘八’字。溪东桥总体结构有三层，分而言之，自下而上分别是编木拱梁桥（基本层）、素柱红板长廊、藻井阁楼。上海交通大学建筑学系教授、博导杨鸿勋在为刘杰、沈为平著《泰顺廊桥》所写《序》中提出，地处百越之乡的浙南闽北多越裔，富有区域建筑特色的泰顺廊桥，其文化根基深远，和7000年前河姆渡文化所反映的高度水准的木结构成就（干栏）有着历史渊源关系。”（《载敬堂集》） 陈志岁《东溪桥》诗：“万山深处越人乡，拱木安流起丽廊。歇听飞檐翘角雨，行蹂崇堍末阶霜。 曲虹映八波中漾，层构划三云里藏。衍进干栏祖先术，蜚声世界列桥王。”
建设历程
东溪桥（俗称溪东桥）始建于明隆庆四年（1570年）。后于清乾隆十年（1745年）重建。该桥为泰顺造型较为典型的木拱桥之一，现为省级重点文物保护单位。
桥梁设计
东溪桥长41.7米，宽4.86米，高10.35米，单孔跨径25.7米。桥梁为宫殿式结构，飞檐翘角，中央有重檐阁楼，在泰顺的木拱桥中造型具有代表性 。
该桥采用编木拱梁工艺建造，外加髹红护板。其侧望宛如曲虹，映水之影酷似倒写的“八”字。桥身为重檐屋顶，两个楼层共12个角翼高高翘起 [2]。
保护与开发
东溪桥现为省级重点文物保护单位，并被中国科技史话丛书《桥梁史话》刊载图文，视为全国桥梁典型之一。 东溪桥与北涧桥合称泗溪姊妹桥，同被列为省级文保单位。
该桥作为重要旅游景点，可供游客参观，地址位于温州市泰顺县泗溪镇下桥村。
",
br_9ab283d497df,黄山桥,1246,117.9374,30.7795,安徽,一拱二平组合石桥,青石,18,6,县级,《南陵县志》,宋元时期,华东,古代,小型,"黄山桥
黄山桥位于安徽省南陵县丫山镇黄山村，始建于南宋淳祐六年（1246年），明代成化十九年（1483年）及清代经邑人孙介若先后重修。桥梁全长18米，宽5.3米，设有石质护栏，桥址所在水域源自双龙井。
该桥存有古代题咏诗句“百尺飞流百丈峰，镜中螺黛泻重重，秋来半落明河水，十二银桥锁玉龙”，现存结构保存完好。同区域城关镇的籍山桥、惠民桥、毕家桥、黉塘桥、玉带桥、龙会桥等均为宋明时期始建并经多次修缮保存至今的古桥。
历史沿革
黄山桥始建于南宋淳祐六年（1246年），明代成化十九年（1483年）重修，清代又经邑人孙介若重修。
桥梁结构
黄山桥全长18米，宽5.3米，设有石质护栏，桥址所在水域源自双龙井。
文化内涵
黄山桥存有古代题咏诗句“百尺飞流百丈峰，镜中螺黛泻重重，秋来半落明河水，十二银桥锁玉龙”。
相关桥梁
同区域城关镇的籍山桥、惠民桥、毕家桥、黉塘桥、玉带桥、龙会桥等均为宋明时期始建并经多次修缮保存至今的古桥。
",
br_04ebebdeefa7,南流桥,1550,117.9001,30.4207,安徽,三孔石拱桥,花岗岩,45,10,省级,《青阳县志》,明清时期,华东,古代,中型,"南流桥
历史背景：南流桥位于安徽，档案中多记其建于1550，属明清时期，地处华东一带，为三孔石拱桥。据《青阳县志》等资料，可反映当时水陆通行与营造传统。
建筑特点：以花岗岩为主要用材，桥长约45米，跨度约10米；在现表中多归为中型桥梁，保护层级为省级，是古代桥梁技术与使用功能的实物例证之一。
文化价值：作为交通与遗产载体，该桥有助于研读地方史、桥型演变与文物保护；参观时请遵守现场规定，勿刻画污损。",
br_e1d587585840,拱北廊桥,1600,118.1598,29.8604,安徽,四墩五孔石墩木平梁廊桥,石/木,72.9,9,省级,《休宁县志》,明清时期,华东,古代,大型,"拱北廊桥
拱北廊桥（又名岭下桥）位于安徽省黄山市休宁县兰田镇岭下村夹溪河上，始建于明万历年间，于清乾隆年间和道光年间重建，为4墩5孔石墩木平梁廊桥，全长72.9米，宽6.8米，高7.6米，是安徽省现存最长的古廊桥 。桥身设遮雨长廊及靠背长凳，历经太平天国战役，1934年12月9日方志敏率红军北上抗日先遣队北上时曾在此宿夜，2012年被列为安徽省文物保护单位 。
该桥在1980年至2014年间经历多次维修，其中2014年投入90余万元进行抢救性修复 。2024年11月下旬，拱北桥再次启动全面整体加固维修，投入资金100余万元，计划于2025年5月完成，维修严格遵循“文物修缮不改变文物原状或最小干预”原则 。原为屯黄公路通行要道，后转型为旅游景点，现举办菊花节等文旅活动 。
建筑形制
拱北桥为一座石墩木平梁廊桥 ，呈半封闭廊式结构 ，桥上建有遮风避雨的砖木结构长廊 。
该桥为4墩5孔古廊桥，桥长70.7米，宽5米，高7.6米 。亦有记载桥长72.9米，宽6.8米 ，或记载为5墩4孔 。
桥面铺木板 ，外墙用青石砖砌成，屋顶覆青瓦 。廊屋内两侧设有靠背长条凳（亦称‘美人靠’）及格子窗等设施，供行人休息 。
该桥始建于宋代，于明万历年间、清乾隆年间及道光年间历经重建或重修 。
2024年11月至2025年5月，文物部门对桥体进行了全面整体加固维修，遵循‘修旧如旧’原则，更换了腐朽的木构件与盖瓦，对桥墩进行了加固 。
历史沿革
拱北桥始建于宋代，于明万历年间和清乾隆年间两次重建 ，并于清道光年间进行重建 。历史上该桥为4墩5孔古廊桥，长70.7米，宽5米，高7.6米 。
1994年屯黄公路建成通车之前，该桥为沿线交通和当地村民出行发挥着重要作用 。
该桥是太平天国时期太平军与曾国藩的湘军拼搏厮杀的地方 。
1934年冬（一说为12月9日），方志敏率领红军北上抗日先遣队途经此地。为不打扰百姓，全体战士遵守纪律，在拱北桥上留宿一夜 。据当地老人回忆，红军曾在第二、三个桥垛外墙上书写“纳粮救国”等标语 。
2024年11月至2025年5月，休宁县文物管理部门对拱北桥进行了全面整体加固维修 。此次维修被列入全省廊桥三年行动计划，投入资金100余万元，严格按照“修旧如旧”原则，对桥墩、木构件及屋面进行了修复。桥长72.9米，宽6.8米 。
2012年，拱北桥被列为安徽省文物保护单位。
",
br_ed095bd3032c,水南桥,1254,110.65,26.73,湖南,七拱石桥,石,70.1,8,市级,《武冈市志》,宋元时期,华中,古代,中型,"水南桥
水南桥，又名梯云桥、安济桥，是湖南省武冈市辕门口街道南门口旱西门社区的一座跨资水古桥，别名“鼠南桥” 。该桥横跨资水，地处武冈古城南端都梁路沿岸，桥梁全长0.09千米。始建于宋代宝祐年间，初名安济桥，取平安渡河之意，因架在城南资水上，俗称为水南桥 。明万历年间（1573-1575年）改建为七拱石桥，1979年冬拆除旧桥重建，于1981年建成现桥，为2孔28米空腹式石拱桥 。最近，有关部门在桥两岸修建了仿古凉亭供人游览 。
作为古代黔粤通道重要节点，水南桥曾为军事交通要道，见证武冈古城千年历史变迁。桥上车水马龙，桥下埠头曾停满货船，桥上有长亭供人歇脚 。桥下曾有吊脚楼，每年端午节有划龙船活动 。桥北端有“南门口百年米粉店”，体现桥梁与商贸活动的紧密关联 。桥上可观资水日出景观，其“云山巍巍，资水汤汤”的地理环境与武冈古城相依相伴，构成重要历史文化遗产 。站在水南桥上游的沿河风光带可望见横跨资水的武冈云山大桥。
建设历程
水南桥始建于宋代宝祐年间（1254-1255年），初名安济桥，因位于城南资水之上，俗称为水南桥，当时为木结构桥 。
明嘉靖二十七年（1548年），原桥坍塌，曾以木桥临时替代。隆庆六年（1572年）至万历三年（1575年），知州宋纯仁主持，官民捐资，改建为七拱石桥，并更名为“梯云桥” 。
清代曾多次重修，康熙二年（1663年），因第三拱将圮，由知州吴从谦等人主持重修；雍正九年（1731年），桥与渡头俱圮于水，由州牧叶居仁等人倡导重修 。
1979年冬，人民政府拨款拆除旧桥，新建为一座两孔、单拱跨径28米、桥长70.1米、宽13米的空腹式石拱桥 。
截至2014年，有关部门决定在桥两岸修建仿古凉亭供人游览，当时已建成三座 。
",
br_1518822b4e8f,神川铁桥,680,100.0350,27.1880,云南,铁索桥,铁链/木,50,无,无,云南文物档案,唐宋时期,西南,古代,中型,"神川铁桥
神川铁桥，又名塔城铁桥，位于今云南丽江与香格里拉交界处，跨越金沙江，现存笔架石锚孔及两岸锢铁遗迹 。该桥约建于唐永隆元年（680年），采用“穴石锢铁”工艺固定铁索，被公认为世界桥梁史上最早的铁索桥，较西方同类桥梁早十个半世纪 。
桥梁建造者存在吐蕃、南诏、隋将史万岁等争议，当代研究倾向吐蕃主持建造，依托纳西族冶铁及笮桥技术完成 。作为唐代滇藏交通要道，其连接茶马古道枢纽，促进区域贸易，后成唐蕃战略要地，794年南诏归唐时被毁 。1992年丽江岸立“古铁桥遗址”纪念碑，现存城墙、炮楼等军事设施遗迹 。
建造背景
1300多年前的初唐时期，丽江西北境的金沙江上曾建有一座宏伟的铁索桥——塔城铁桥。其遗址位于今丽江市玉龙县塔城乡塔城村，江对岸为今香格里拉县上江乡木高村。因该地为唐代吐蕃设立的神川都督府所在，此桥又名神川铁桥。当时的塔城，也因此称为“铁桥城”闻名中原。
这座古代桥梁为“穴石锢铁”的铁索桥，系吐蕃由其神川都督府向洱海地区扩张时，于唐高宗调露二年（公元680年）所建。史籍中或说隋代大将史万岁征云南爨氏时所建，或说南诏所建，皆非。历史上此桥又称“吐蕃铁桥”，亦足资证。
至于施工建造者，则应为吐蕃在丽江一带征集的古纳西族工匠。其时聚居于滇川藏交界称“麽些江”流域的古纳西族，久已有着精良的冶铁和铁器锻制工艺，与本民族古来在江流上架设索桥的丰富经验相结合，造就了这最早的大桥。
传说神川铁桥是利用天然桥墩建造而成的。据史料记载：在神川建造地的金沙江中有一石耸立，露出水面约5米，成三岔竖立，形如笔架，称笔架石（又称照壁石），其中两岔分别凿有直径约1米的圆洞，为“穴石锢铁”之处（于1959年在疏浚金沙江航道时被炸塌）。
笔架石横卧于原石基座旁江中，枯水季节，犹见石穴。而两岸“锢铁”遗迹，因年久日深，被江洪冲毁，或被积石覆盖而无存。
笔架石东岸右侧，有一岩房平台，长约50余米，最宽处15米，可供相当数量的兵卒守桥之用（于1988年修筑上江至五境乡公路时被炸毁大半）。在今丽江塔城塔展村的金沙江边高岩上，熔铁系链的洞穴还在，江边立有“古铁桥遗址”碑 。
",
br_ea4107bb7196,三殿汉代古桥,公元前160,109.0485,34.2768,陕西,木质柱梁桥,木材,74.64,无,无,《陕西考古报告》,汉代,西北,古代,中型,"三殿汉代古桥
历史背景：三殿汉代古桥位于陕西，档案中多记其建于公元前160，属汉代，地处西北一带，为木质柱梁桥。据《陕西考古报告》等资料，可反映当时水陆通行与营造传统。
建筑特点：以木材为主要用材，桥长约74.64米，跨度见方志与实测待核；在现表中多归为中型桥梁，保护层级为无，是古代桥梁技术与使用功能的实物例证之一。
文化价值：作为交通与遗产载体，该桥有助于研读地方史、桥型演变与文物保护；参观时请遵守现场规定，勿刻画污损。",
br_e53dac3ac602,临晋关浮桥,287,110.18,34.83,陕西,连舟浮桥,木,300,无,无,《蒲津关志》,战国时期,西北,古代,大型,"临晋关浮桥
蒲津关，亦称临晋关、大庆关，是古代黄河重要渡口及秦晋间军事要塞，位于今陕西省大荔县东，与山西永济隔河相望。战国时期魏国始设此关，汉武帝元封六年（前105年）改称蒲津关，控扼关中与河东交通咽喉，为关中东部门户 。
该关历经战国至明代近两千年演变：战国时期魏国初建浮桥，秦昭襄王二十年（前287年）正式架设河桥；汉初成为刘邦东征、韩信破魏的战略通道 ；唐代开元年间改用铁牛锚固铁索浮桥，两岸各铸四尊铁牛以维系交通，工程规模居当时全国之冠 ；北宋大中祥符四年（1011年）更名大庆关，明万历年间因黄河改道迁至河东 [3] [6]。关城与浮桥屡经战火损毁与重建，见证曹操破马超、李渊渡河东征等战役 ，元代后随河道变迁逐渐废弃。1989年山西永济出土的唐代铁牛群，实证其作为黄河古渡与军事重险的双重功能.
",
br_cbcf0db2f070,渭南渭水浮桥,1134,109.50,34.55,陕西,连舟浮桥,木/石,无,无,无,《渭水志》,宋元时期,西北,古代,大型,"渭南渭水浮桥
渭水浮桥是中国现存文献记载最早的桥梁，属西周初期临时性浮桥设施。相传为周文王迎亲所建，采用多艘船只并排捆绑、船面铺设木板的构造方式，近岸船只通过绳索与两岸木桩固定，形成跨越渭水的通道 。
以舟船为基、绳木为材的结构形式开创了浮桥建筑形制先河，其“不需桥墩和良好地基”的技术特性成为后世浮桥发展的基础参照 [2]。现存遗迹虽已不可考，但通过《诗经》等文献记载确认其历史地位，为研究中国古代浮桥起源提供关键案例.
建设历程
渭水浮桥的建造背景是周文王为迎娶妻子而建。约公元前1134年，周文王在渭水上用船架设了这座浮桥。其最早记载见于《诗经·大雅·大明》中的“亲迎于渭，造舟为梁”。这座浮桥的建造方式是将数十艘船并排绑在一起，在船上铺上木头，并用绳索固定靠近两岸的船只，形成一座临时的桥梁 。
",
br_da218ab5d6b8,赵州桥,605,114.5153,37.7195,河北,敞肩石拱桥,石,50.82,37.02,国家级,,唐宋时期,华北,古代,中型,"赵州桥
历史背景：隋朝大业年间（605年）由匠师李春设计建造，距今已有1400多年历史，是世界上现存最早、保存最完整的单孔敞肩石拱桥。1961年被列为第一批全国重点文物保护单位，1991年被美国土木工程师学会选定为国际土木工程历史古迹。
建筑特点：
•	采用敞肩拱结构，主拱两侧各有两个小拱，既减轻桥身重量，又增加泄洪能力
•	桥长50.82米，主拱跨度37.02米，拱高7.23米
•	桥面坡度平缓，便于车马通行
•	28道独立拱券并列砌筑，结构坚固",
br_03d8438e7b2f,十七孔桥,1750,116.2750,39.9920,北京,十七孔联拱石桥,石,150,8,国家级,颐和园档案,明清时期,华北,古代,大型,"十七孔桥
历史背景：清乾隆十五年（1750年）建于颐和园昆明湖上，连接东堤与南湖岛，是颐和园内最大的石桥。
建筑特点：全长150米，宽8米，由17个桥孔组成，中间孔最大，向两端递减。桥栏上雕有544只形态各异的石狮，堪与卢沟桥媲美。桥两端各有一对石雕异兽，造型生动威武。
文化价值：中国古代皇家园林桥梁艺术的杰作，每年冬至前后夕阳穿过桥孔的「金光穿洞」奇观吸引大量游客。",
br_69d7d0cf8edc,拱宸桥,1631,120.1283,30.3200,浙江,三孔薄墩联拱石桥,石,98,16,国家级,《杭州市志》,明清时期,华东,古代,中型,"拱宸桥
历史背景：明崇祯四年（1631年）始建，清康熙年间重修，横跨京杭大运河，是杭州古运河上最高最长的石拱桥。
建筑特点：三孔薄墩联拱石桥，全长98米，宽5.9米，中孔跨度16米。桥面两侧设石栏，桥墩呈船形分水尖。
文化价值：京杭大运河杭州段标志性建筑，2014年随大运河申遗成功列入世界遗产。",
br_ed05e3551477,放生桥,1571,121.0583,31.1083,上海,五孔石拱桥,石,70.8,11.8,市级,《青浦县志》,明清时期,华东,古代,中型,"放生桥
历史背景：明隆庆五年（1571年）由慈门寺僧性潮募建，位于上海朱家角古镇，是上海地区现存最大的石拱桥。
建筑特点：五孔石拱桥，全长70.8米，宽5.8米，中孔跨度11.8米。桥栏石板上刻有荷叶莲花纹浮雕。
文化价值：江南水乡古镇文化的标志之一，至今桥下仍保留放生习俗。",
br_b07ed4e853b0,广利桥,1827,110.8500,26.4500,湖南,半圆石拱桥,石,36.8,9.5,国家级,《新宁县志》,明清时期,华中,近现代,中型,"广利桥
历史背景：清道光七年（1827年）建，位于湖南新宁县金石镇，横跨夫夷水上。
建筑特点：三拱半圆石桥，全长36.8米，桥面宽4.5米。桥上建有风雨亭廊，两端设亭阁，形成「桥上有屋」的格局。
文化价值：2006年列入全国重点文物保护单位，是湘西南风雨桥的典型代表。",
br_ca852cc6dbec,朝宗桥,1443,116.2333,40.2167,北京,七孔联拱石桥,石,130,13,国家级,《昌平区志》,明清时期,华北,古代,大型,"朝宗桥
历史背景：明正统七年（1443年）建于北京昌平，横跨北沙河，是明十三陵神路的重要组成部分。
建筑特点：七孔联拱石桥，全长130米，宽13.3米，花岗岩砌筑。桥两端各有石狮望柱，规制宏大。
文化价值：明皇陵御路桥梁中保存最完整者之一，2013年列入全国重点文物保护单位。",
br_c3e84b8051df,永安桥,1641,122.6833,40.8500,辽宁,三孔石拱桥,石,37,15,国家级,《海城县志》,明清时期,东北,古代,中型,"永安桥
历史背景：清崇德六年（1641年）建于辽宁海城，横跨杨柳河，是东北地区现存最古老的石拱桥之一。
建筑特点：三孔石拱桥，全长37米，中孔跨径15米。拱券采用纵联砌法，桥面两侧设石栏板与望柱。
文化价值：2006年列入全国重点文物保护单位，对研究清初东北交通建设有重要价值。",
br_43fb3a966986,千乘桥,1834,118.9833,26.9167,福建,木拱廊桥,木,62.7,33,国家级,《屏南县志》,明清时期,华东,近现代,中型,"千乘桥
历史背景：清道光十四年（1834年）建于福建屏南棠口村，横跨棠口溪。
建筑特点：木拱廊桥，全长62.7米，单跨33米，桥廊设19间。采用编木拱结构，不用一钉一铆。
文化价值：闽东北木拱廊桥的典型代表，2006年列入全国重点文物保护单位。",
br_93b3145109ca,九龙桥,1574,105.6167,27.1500,贵州,三孔石拱桥,石,36,10,省级,《大方县志》,明清时期,西南,古代,中型,"九龙桥
历史背景：明万历二年（1574年）建于贵州大方县城东门外，横跨对江河。
建筑特点：三孔石拱桥，全长36米，宽7.5米。桥面两侧设石栏杆，望柱头雕有石狮。
文化价值：黔西北地区保存较好的明代桥梁，是研究贵州交通史的重要实物。",
br_4122cd1224f1,永宁桥,1731,121.1500,30.0333,浙江,三孔石拱桥,石,47.4,12.5,省级,《余姚市志》,明清时期,华东,古代,中型,"永宁桥
历史背景：清雍正九年（1731年）建于浙江余姚河姆渡镇，横跨姚江支流。
建筑特点：三孔石拱桥，全长47.4米，宽5.2米，中孔跨径12.5米。桥面平坦，适于车马通行。
文化价值：浙东地区保存较好的清代石拱桥，是姚江流域交通网络的重要节点。",
br_60c0758ecef5,虹桥,1050,114.3500,34.7833,河南,木拱桥,木,40,17,无,《东京梦华录》,宋元时期,华北,古代,中型,"虹桥（清明上河图）
历史背景：北宋皇祐二年（1050年）前后建于东京汴梁（今开封），因张择端《清明上河图》而名扬天下。
建筑特点：无柱木拱桥，全长约40米，跨径约17米。以大木相贯搭架为拱骨，上铺木板为桥面，造型如长虹卧波。
文化价值：中国古代无柱木拱桥的巅峰之作，原桥已毁于金兵南侵；其编木拱结构对后世闽浙廊桥影响深远。",
br_1c91a8082d05,大通桥,1292,116.4280,39.9020,北京,单孔石拱桥,石,30,8,市级,《北京通志》,宋元时期,华北,古代,小型,"大通桥
历史背景：元至元二十九年（1292年）随通惠河开凿而建，为元大都东南水关要冲。
建筑特点：单孔石拱桥，全长约30米，青石砌筑。桥下通漕运船只，两岸曾设闸门控水。
文化价值：元代通惠河水利工程遗存，见证了京杭大运河漕运进京的最后一段。",
br_5d8f91be47b9,惠民桥,1393,118.7667,32.0500,江苏,石梁桥,石,80,6,省级,《南京市志》,明清时期,华东,古代,中型,"惠民桥
历史背景：明洪武二十六年（1393年）建于南京秦淮河畔，旧称上浮桥。
建筑特点：石梁桥，全长约80米，宽约6米，多墩多跨结构。石条平铺为桥面。
文化价值：南京秦淮河桥梁群的重要组成部分，反映了明初南京城市水道交通体系。",
br_61696988646e,长桥,1042,120.6333,31.3000,江苏,多孔石梁桥,石,200,4,省级,《苏州府志》,宋元时期,华东,古代,大型,"长桥
历史背景：北宋庆历二年（1042年）始建于苏州盘门外，横跨京杭大运河，因桥体狭长得名。
建筑特点：多孔石梁桥，全长约200米，桥面宽约4米。多墩石梁结构，历代屡修。
文化价值：苏州古城水路交通的标志性桥梁，与盘门、瑞光塔合称「盘门三景」。",
br_f880cc6648eb,万春桥,1578,120.2833,31.5667,江苏,单孔石拱桥,石,36,9,市级,《无锡市志》,明清时期,华东,古代,中型,"万春桥
历史背景：明万历六年（1578年）建于无锡惠山古镇惠山浜上，因其所在之地春色盎然而得名。
建筑特点：单孔石拱桥，全长36米，宽4.8米。桥面微拱，两侧设石栏。
文化价值：惠山古镇历史文化街区的重要构件，与寄畅园等共同展示江南园林文化。",
br_04f596b059cc,利涉桥,1757,119.4190,32.4010,江苏,单孔石拱桥,石,28,8,市级,瘦西湖管理处,明清时期,华东,古代,小型,"利涉桥
历史背景：清乾隆二十二年（1757年）建于扬州瘦西湖景区内，与五亭桥同期营建。
建筑特点：单孔石拱桥，全长28米。桥面平坦开阔，两侧白石栏杆，桥洞倒映水中成圆。
文化价值：瘦西湖园林桥梁群的组成部分，与五亭桥、二十四桥共同构成扬州水上名胜。",
br_9dfd25a02ec5,报恩桥,1505,119.9667,31.7833,江苏,三孔石拱桥,石,40,8,市级,《常州府志》,明清时期,华东,古代,中型,"报恩桥
历史背景：明弘治十八年（1505年）建于常州城内，横跨关河，桥名取「报恩图义」之意。
建筑特点：三孔石拱桥，全长40米，宽5.6米。青石构筑，桥面平坦。
文化价值：常州古运河沿线保存的明代石桥之一，是研究苏南城镇水系桥梁的实物。",
br_22e1c597852d,龙泉桥,1562,116.5333,39.1333,河北,三孔石拱桥,石,45,12,省级,《大兴县志》,明清时期,华北,古代,中型,"龙泉桥
历史背景：明嘉靖四十一年（1562年）建于河北境内，横跨永定河支流。
建筑特点：三孔石拱桥，全长45米，中孔跨径12米。青白石砌筑，桥面设石栏。
文化价值：永定河流域明代桥梁的代表，反映了京畿地区交通建设水平。",
br_9ce7d6ab1f45,永丰桥,1576,120.0333,30.3833,浙江,三孔石拱桥,石,43,10,市级,《余杭县志》,明清时期,华东,古代,中型,"永丰桥
历史背景：明万历四年（1576年）建于浙江余杭塘栖古镇，横跨京杭大运河。
建筑特点：三孔石拱桥，全长43米，宽5米，中孔跨径10米。花岗岩砌筑，坚固耐久。
文化价值：塘栖古镇「七桥」之一，大运河浙江段重要遗产点。",
br_84eb940b8809,凤凰桥,1530,118.4333,29.8667,安徽,三孔石拱桥,石,55,10,省级,《歙县志》,明清时期,华东,古代,中型,"凤凰桥
历史背景：明嘉靖九年（1530年）建于安徽歙县，横跨练江。
建筑特点：三孔石拱桥，全长55米，宽6米。桥上建有青瓦亭廊，两端设石牌坊。
文化价值：徽州古桥的代表之一，与周边徽派建筑群共同展示皖南水乡风貌。",
br_596bdf1f9a59,清平桥,1573,107.5167,26.4167,贵州,单孔石拱桥,石,25,6,市级,《都匀市志》,明清时期,西南,古代,小型,"清平桥
历史背景：明万历元年（1573年）建于贵州都匀城区，横跨剑江。
建筑特点：单孔石拱桥，全长25米，宽约5米。石砌拱券，桥面铺青石板。
文化价值：都匀老城区保存的明代桥梁，见证了黔南驿路交通发展。",
br_aae0b39439d9,太和桥,1596,112.8500,35.5000,山西,单孔石拱桥,石,35,10,市级,《晋城市志》,明清时期,华北,古代,中型,"太和桥
历史背景：明万历二十四年（1596年）建于山西晋城，横跨白水河。
建筑特点：单孔石拱桥，全长35米，宽6.5米。砂石砌筑，拱券坚固。
文化价值：晋东南地区明代石桥的典型实例，反映了太行山区交通建设传统。",
br_42c938dc51ec,翠屏桥,1580,104.6333,28.7667,四川,三孔石拱桥,石,42,11,市级,《宜宾市志》,明清时期,西南,古代,中型,"翠屏桥
历史背景：明万历八年（1580年）建于四川宜宾翠屏山下，横跨岷江支流。
建筑特点：三孔石拱桥，全长42米，宽5米。拱券用红砂石砌筑，与翠屏山色相映。
文化价值：宜宾旧城八景之一，是川南地区保存较好的明代石拱桥。",
br_1ae912222099,南门桥,1350,105.9667,31.5833,四川,七孔石拱桥,石,68,12,省级,《阆中县志》,宋元时期,西南,古代,中型,"南门桥
历史背景：元至正十年（1350年）建于四川阆中古城南门外，横跨嘉陵江支流。
建筑特点：七孔石拱桥，全长68米，宽7米。石灰岩砌筑，桥面两侧设石栏。
文化价值：阆中古城水陆交通要冲，与古城风水格局密切相关。",
br_027dd8e2a2c0,双凤桥,1468,106.5500,29.5333,重庆,三孔石拱桥,石,48,10,市级,《重庆市志》,明清时期,西南,古代,中型,"双凤桥
历史背景：明成化四年（1468年）建于重庆渝北，因桥两端山形似双凤展翅而得名。
建筑特点：三孔石拱桥，全长48米，宽6米。石灰岩砌筑，拱券半圆形。
文化价值：川渝地区明代桥梁的实物遗存，对研究嘉陵江流域交通有参考意义。",
br_45894d5e7c9a,会通桥,1289,115.9667,36.4667,山东,七孔石拱桥,石,55,12,省级,《聊城市志》,宋元时期,华东,古代,中型,"会通桥
历史背景：元至元二十六年（1289年）随会通河（大运河山东段）开凿而建，位于聊城东昌府。
建筑特点：七孔石拱桥，全长55米，宽7米。青石砌筑，中孔较大以通漕船。
文化价值：元代大运河工程遗存，见证了会通河漕运的兴盛。",
br_c3bc0a6fe9f7,万里桥,240,104.0667,30.6500,四川,石梁桥,石,60,8,市级,《成都市志》,六朝时期,西南,古代,中型,"万里桥
历史背景：三国蜀汉建兴年间（约240年）始建于成都南门外，诸葛亮在此送费祎出使东吴，费祎曰「万里之路，始于此桥」。
建筑特点：石梁桥，历代重修，现桥全长约60米，宽8米。多次翻建，格局犹存。
文化价值：杜甫诗「万里桥西一草堂」即指此桥，是成都最具文学意象的古桥之一。",
br_b8bb09133d31,百花桥,1463,100.1667,25.6833,云南,三孔石拱桥,石,30,8,市级,《大理市志》,明清时期,西南,古代,小型,"百花桥
历史背景：明天顺七年（1463年）建于云南大理古城北门外，横跨玉局河。
建筑特点：三孔石拱桥，全长30米，宽约5米。石灰岩砌筑，桥面平整。
文化价值：大理古城外围交通要道，大理白族建筑文化的桥梁实物。",
br_190176d67ec5,西安桥,1573,123.1833,41.2667,辽宁,五孔石拱桥,石,50,11,省级,《辽阳市志》,明清时期,东北,古代,中型,"西安桥
历史背景：明万历元年（1573年）建于辽宁辽阳城西太子河上。
建筑特点：五孔石拱桥，全长50米，宽7米。花岗岩砌筑，桥墩船形分水。
文化价值：东北地区现存较早的明代石桥之一，是辽阳古城交通遗存。",
br_c1737c138d07,南薰桥,1421,116.3860,39.8820,北京,单孔石拱桥,石,32,8,市级,《北京通志》,明清时期,华北,古代,中型,"南薰桥
历史背景：明永乐十九年（1421年）随北京城营建而建，位于永定门内。
建筑特点：单孔石拱桥，全长32米，宽约8米。青白石砌筑，桥面平坦。
文化价值：明代北京城中轴线南端的桥梁遗存，与永定门、天坛共同构成旧城南部景观。",
